method,case_key,center_id,H,K,budget_tier,test_wmse,test_mae,test_worst10
common12_sgd_mse50_valbest,c1111_h1_k20_bloose,1111,1,20,loose,0.0020942986011505127,0.03695845603942871,0.008526749908924103
common12_sgd_mse50_valbest,c1111_h4_k10_bloose,1111,4,10,loose,0.0018605295335873961,0.0343250036239624,0.00756547087803483
common12_sgd_mse50_valbest,c1111_h4_k20_bloose,1111,4,20,loose,0.00218042335473001,0.03736308589577675,0.00816432200372219
common12_sgd_mse50_valbest,c1112_h1_k10_bmedium,1112,1,10,medium,0.007772468496114016,0.07202579081058502,0.03213493153452873
common12_sgd_mse50_valbest,c1112_h1_k20_bmedium,1112,1,20,medium,0.007326538674533367,0.0690552145242691,0.03174678981304169
common12_sgd_mse50_valbest,c1112_h4_k10_bmedium,1112,4,10,medium,0.007448541931807995,0.06917405873537064,0.028076039627194405
common12_sgd_mse50_valbest,c1112_h4_k20_bmedium,1112,4,20,medium,0.005862479563802481,0.06130373477935791,0.021893801167607307
common12_sgd_mse50_valbest,c1113_h1_k10_bmedium,1113,1,10,medium,0.002524589654058218,0.03969782963395119,0.011634242720901966
common12_sgd_mse50_valbest,c1113_h1_k20_bmedium,1113,1,20,medium,0.0025180652737617493,0.03970729932188988,0.011480025947093964
common12_sgd_mse50_valbest,c1113_h4_k10_bmedium,1113,4,10,medium,0.003339179791510105,0.045283880084753036,0.013258462771773338
common12_sgd_mse50_valbest,c1113_h4_k20_bmedium,1113,4,20,medium,0.0035691990051418543,0.04683845862746239,0.01554943062365055
common12_sgd_mse50_valbest,c1114_h1_k10_bmedium,1114,1,10,medium,0.005895612761378288,0.061134081333875656,0.025872638449072838
common12_sgd_mse50_valbest,c1114_h1_k20_bmedium,1114,1,20,medium,0.009026223793625832,0.07775687426328659,0.03456858918070793
common12_sgd_mse50_valbest,c1114_h4_k10_bmedium,1114,4,10,medium,0.008222604170441628,0.07342464476823807,0.029043668881058693
common12_sgd_mse50_valbest,c1114_h4_k20_bmedium,1114,4,20,medium,0.00712992250919342,0.06793661415576935,0.025283776223659515
common12_sgd_mse50_valbest,c1115_h1_k10_bmedium,1115,1,10,medium,0.012839090079069138,0.09419767558574677,0.048755012452602386
common12_sgd_mse50_valbest,c1115_h1_k20_bmedium,1115,1,20,medium,0.019993981346488,0.11744797229766846,0.075223408639431
common12_sgd_mse50_valbest,c1115_h4_k10_bmedium,1115,4,10,medium,0.01455953810364008,0.09929538518190384,0.04858870431780815
common12_sgd_mse50_valbest,c1115_h4_k20_bmedium,1115,4,20,medium,0.02247464843094349,0.12423927336931229,0.07618739455938339
common12_sgd_mse50_valbest,c1116_h1_k10_bmedium,1116,1,10,medium,0.0015078670112416148,0.030174117535352707,0.007024141028523445
common12_sgd_mse50_valbest,c1116_h1_k20_bmedium,1116,1,20,medium,0.0018842322751879692,0.03376594930887222,0.008861313574016094
common12_sgd_mse50_valbest,c1116_h4_k10_bmedium,1116,4,10,medium,0.002839386695995927,0.040039606392383575,0.015367809683084488
common12_sgd_mse50_valbest,c1116_h4_k20_bmedium,1116,4,20,medium,0.0028006350621581078,0.039188552647829056,0.015645088627934456
common12_sgd_mse50_valbest,c1117_h1_k10_bmedium,1117,1,10,medium,0.0197351835668087,0.11876633018255234,0.06970773637294769
